,Drug,MAE,MEDAE,MSE,RMSE,MAPE,MDAPE,sum
231,MIRA-1,0.776035436,0.680917023,0.976253038,0.98805518,17.95210434,12.1025576,33.47592261
258,LJI308,0.76996336,0.63711328,0.950651033,0.97501335,18.11444864,12.62472697,34.07191663
165,GSK2830371A,0.791670639,0.714515821,0.948905166,0.974117635,16.86418749,13.87885421,34.17225095
180,Nelarabine,0.738797747,0.610230435,0.982759565,0.991342304,21.33741098,9.762241769,34.4227828
243,N30652-18-1,0.811143882,0.614287856,1.190202639,1.090964087,18.40133852,12.4673051,34.57524209
194,729189,0.651263745,0.534663144,0.665285731,0.815650495,17.80982365,14.20557611,34.68226288
24,KU-55933,0.815491719,0.645419583,1.090952749,1.044486835,17.86991007,13.22116332,34.68742428
32,SL0101,0.767275195,0.767290661,0.813435819,0.901906768,16.03988276,16.3338011,35.6235923
269,A-366,0.830163846,0.67473159,1.128065413,1.062104238,18.79570249,13.25757019,35.74833777
101,Ruxolitinib,0.799070979,0.658858444,1.034886536,1.017293732,18.90584334,13.34224883,35.75820187
53,Avagacestat,0.812168362,0.6850662,1.046303633,1.022889844,18.43716435,13.99847861,36.00207099
171,Zoledronate,0.639632229,0.543274069,0.695238389,0.833809564,19.50210995,14.23646788,36.45053208
37,Mirin,0.839099935,0.676787387,1.218509176,1.103861031,17.60437263,15.06812344,36.51075361
100,Bicalutamide,0.786072877,0.754103944,0.848158937,0.920955448,17.12302108,16.27685954,36.70917183
193,L-Oxonoreleagnine,0.681150318,0.553603843,0.735173505,0.857422594,18.94436342,15.20256853,36.97428221
143,AGI-6780,0.780231895,0.653147909,0.954516752,0.976993732,19.04355685,15.29233466,37.7007818
126,LGK974,0.784742557,0.695599392,0.938672218,0.968850978,18.5363366,15.83289986,37.7571016
190,720427,0.697218395,0.603078439,0.795678878,0.892008339,20.24076307,14.93891976,38.16766689
151,IRAK4_4710,0.780139425,0.69051556,0.975938295,0.987895893,20.8823415,13.94162983,38.2584605
139,ML323,0.808816708,0.753211046,1.061526113,1.030303894,19.01977003,16.0402868,38.71391459
209,MN-64,0.862012495,0.723720556,1.277353303,1.130200559,20.57435317,14.57806993,39.14571001
33,Doramapimod,0.888398485,0.738043599,1.382104281,1.175629313,21.87411291,13.29560325,39.35389184
229,I-BRD9,0.835301037,0.636717086,1.142597944,1.068923731,21.20110679,14.4732463,39.35789289
136,RVX-208,0.811369947,0.677877972,1.045035606,1.02226983,22.30910779,14.15601196,40.0216731
72,Rucaparib,0.769271794,0.586386245,0.992897593,0.996442469,21.5372192,15.68780753,40.57002484
207,LY2109761,0.882288264,0.726470287,1.269748447,1.126831153,22.80175538,13.95347884,40.76057237
256,Remodelin,0.899851056,0.727955049,1.284600742,1.133402286,21.62178919,15.979444,41.64704233
89,XAV939,0.807388476,0.670349101,1.123802951,1.060095727,23.49916548,15.10835604,42.26915778
133,PCI-34051,0.89711537,0.760867705,1.327654373,1.152238852,23.18949254,16.22667999,43.55404883
142,Ribociclib,0.735480406,0.572704203,0.949156003,0.974246377,25.39320275,16.02164505,44.64643479
64,GSK1904529A,0.900535808,0.717748887,1.2483604,1.117300497,23.17787912,18.15949283,45.32131754
276,PFI-1,0.850316563,0.69532228,1.156183636,1.075259799,23.36691357,18.25346921,45.39746506
66,PF-4708671,0.6976298,0.529539652,0.835454514,0.914032009,27.69438423,15.17688011,45.84792032
19,GW441756,0.714082293,0.602050261,0.821964221,0.906622425,25.30624769,18.57884616,46.92981306
283,THR-103,0.893094349,0.760397193,1.321715034,1.14965866,26.40883215,16.52324766,47.05694504
240,BPD-00008900,0.938467795,0.802584075,1.466810966,1.211119716,26.20512352,17.49314076,48.11724683
134,Wnt-C59,0.946932728,0.896163092,1.359509838,1.165980205,24.10540156,19.73998222,48.21396964
247,UNC0638,0.867409069,0.66846124,1.220770346,1.104884766,28.37873514,16.56250138,48.80276194
115,IWP-2,0.682778887,0.576918477,0.763806414,0.87396019,26.35125052,19.76451444,49.01322893
199,Sinularin,0.804491549,0.654669343,1.018337808,1.009127251,28.011775,17.78823077,49.28663172
236,WIKI4,0.896346001,0.781336033,1.268550453,1.126299451,24.95715665,21.07658576,50.10627435
263,VTP-B,0.649107469,0.527930069,0.711074055,0.843252071,26.88887122,20.58879448,50.20902936
52,EHT-1864,0.845524086,0.699146595,1.100074031,1.048844141,28.6377516,19.06070987,51.39205032
152,JAK1_8709,0.935164861,0.795361403,1.394344364,1.180823595,28.67271963,19.20042041,52.17883426
186,123138,0.673008304,0.525956745,0.753648142,0.868129105,29.00002047,20.57985804,52.40062081
185,765771,0.806508652,0.7090244,0.979592239,0.989743522,27.46684765,22.47910801,53.43082448
260,GSK591,0.976188799,0.839160754,1.541707649,1.241655205,31.83969703,17.78920221,54.22761164
246,ICL-SIRT078,1.057891352,0.809124794,1.88609727,1.373352566,30.27511161,19.22605515,54.62763275
80,Tamoxifen,1.039643713,0.842624506,1.706398621,1.306291936,27.55217496,22.1997345,54.64686823
238,MIM1,1.004446077,0.807103388,1.629816071,1.276642499,28.68166897,21.55216379,54.9518408
6,Tretinoin,0.982936326,0.697490615,1.866456013,1.366183008,35.04331106,15.02112796,54.97750498
203,776928,1.068098973,0.817548839,1.973867484,1.404943943,27.46144759,22.40336592,55.12927275
68,Serdemetan,0.848488255,0.729192632,1.099891519,1.048757131,33.2450711,18.85386689,55.82526753
278,CHIR-99021,1.088890938,1.019035689,1.663100669,1.289612604,30.39352666,21.62633696,57.08050352
36,Nutlin-3a (-),1.017222574,0.872944826,1.716402153,1.310115321,35.26014103,18.35321705,58.53004295
120,GSK-LSD1,0.65911464,0.614615345,0.652530809,0.807793791,36.52316915,20.36996017,59.62718391
128,WZ4003,1.064283303,0.945222819,1.74218341,1.319917956,32.59486469,22.13483258,59.80130476
131,GSK2606414,0.981905314,0.728363762,1.5587252,1.248489167,35.90641144,19.71808959,60.14198447
248,AGK2,0.77328328,0.682544691,0.885139932,0.940818756,36.32049208,20.67299287,60.27527161
108,LCL161,0.930341597,0.754617681,1.72169115,1.312132291,39.60498044,16.04207251,60.36583567
29,PLX-4720,1.099166966,0.938778918,1.921305068,1.386111492,34.51469713,21.46370089,61.32376046
140,Entospletinib,0.915928626,0.752816346,1.306246442,1.142911389,35.70326895,21.91659522,61.73776697
91,Dabrafenib,1.119407137,0.762538534,2.340002038,1.52970652,38.25291314,17.83791565,61.84248302
13,Olaparib,0.794402062,0.55697971,1.12644607,1.061341637,42.82900747,15.72672225,62.0948992
197,Elephantin,1.011375614,0.804793145,1.69161122,1.300619552,33.08212096,24.73564273,62.62616322
233,P22077,1.187532139,1.031689708,2.192583436,1.480737464,35.51264587,22.87575412,64.28094273
259,AZ6102,0.869852407,0.699120007,1.216089463,1.102764464,34.10138741,26.91323991,64.90245366
48,SB590885,0.897000643,0.729676604,1.345957804,1.160154216,44.51610359,16.31764741,64.96654027
245,HKMTI-1-005,1.06785875,0.883799789,1.751251028,1.323348415,37.42142506,24.6915605,67.13924354
210,KRAS (G12C) Inhibitor-12,1.10908774,0.853738798,2.199299877,1.483003667,43.6331698,20.17207068,69.45037056
267,GSK-LSD1-2HCl ,0.745217742,0.572037128,0.936928883,0.967950868,44.18733646,22.20293407,69.61240515
208,OF-1,1.040999217,0.847709221,1.795224083,1.339859725,44.66384595,20.1158827,69.8035209
7,Gefitinib,0.951498088,0.786889321,1.516890855,1.23162123,40.39762028,25.19278692,70.0773067
67,PRIMA-1MET,1.344725921,1.21855747,2.665565412,1.632655938,35.76241882,27.82706789,70.45099145
59,Sorafenib,0.858305699,0.605591055,1.397430416,1.18212961,42.43413265,25.22530991,71.70289935
62,Oxaliplatin,1.131891055,1.027146247,1.84824956,1.359503424,40.80250206,25.60326384,71.77255619
261,VE821,1.180229005,1.021536583,2.033901285,1.42614911,40.71421205,25.868364,72.24439204
73,Niraparib,0.970508849,0.805158667,1.526592207,1.235553401,48.74599766,18.96373412,72.24754491
71,CCT-018159,1.245944715,1.08242943,2.231210931,1.493723847,38.49448502,30.1534651,74.70125905
262,VTP-A,0.673268085,0.566146195,0.687778571,0.829324165,48.98097374,23.30228397,75.03977472
241,N25720-51-A1,1.070427511,1.024414169,1.780481609,1.334346885,41.66815413,29.13316114,76.01098544
157,VSP34_8731,0.776795276,0.515892799,1.268364599,1.126216941,49.98594465,24.05533818,77.72855244
41,RO-3306,1.218729355,1.001634934,2.351030744,1.533307126,45.31530104,26.7252246,78.1452278
98,AZD1332,1.219061986,0.992464011,2.330209764,1.526502461,44.76855799,27.74099879,78.577795
31,NU7441,1.046261195,0.892318309,1.87807161,1.370427528,46.605024,27.54951186,79.3416145
270,CPI-637,1.118388527,0.865681315,1.991489019,1.411201268,53.7898975,21.78082883,80.95748646
239,WEHI-539,1.213083285,0.927545223,2.460987441,1.568753467,52.1955674,22.99826612,81.36420294
81,Fulvestrant,1.320278864,1.260904197,2.372292717,1.540224892,41.418012,33.9491966,81.86090927
121,BDOCA000347a,0.640818644,0.542957108,0.623989674,0.78993017,58.18715604,21.0925473,81.87739894
235,UMI-77,1.13100846,0.891706694,2.085129347,1.443997696,44.79411722,32.40234578,82.7483052
279,SGC0946,0.645010661,0.522152502,0.677951739,0.823378248,54.25668008,26.50415434,83.42932757
95,IAP_5620,1.21452963,0.736459359,3.140123863,1.772039464,64.21005732,13.48919657,84.5624062
30,BX795,0.996165571,0.92488809,1.509632186,1.228670902,46.49061846,33.59047781,84.74045302
49,Selumetinib,0.98770575,0.743992086,1.67694935,1.294970791,58.92137719,21.63771098,85.26270614
252,AMG-319,0.850074914,0.680047962,1.238658618,1.112950411,67.06117996,15.15010316,86.09301502
212,BDP-00009066,1.039107399,0.8693502,1.777369702,1.333180296,51.34905011,32.75232967,89.12038737
10,Nilotinib,1.070568305,0.828522942,1.893891865,1.376187438,60.68809856,23.41776936,89.27503847
15,Bosutinib,0.915913354,0.767656538,1.295991289,1.138416132,55.96531271,29.54850743,89.63179745
155,TAF1_5496,1.176395521,0.860515119,2.417779087,1.554920926,62.39903753,22.49657862,90.9052268
109,Lapatinib,1.202228107,0.970451871,2.375152671,1.541153033,54.37612693,30.88660108,91.3517137
111,Alpelisib,1.091800508,0.93236307,1.914508851,1.38365778,61.89608214,25.46971541,92.68812776
138,GSK343,1.385895574,1.287070799,2.742697369,1.656109105,49.53324052,36.2238976,92.82891096
225,Ipatasertib,1.140965161,0.971276535,2.075077011,1.44051276,59.70324431,27.82326362,93.15433939
224,Cediranib,1.020046921,0.715024535,1.880782885,1.371416379,55.5212745,32.69176401,93.20030923
106,Sapitinib,1.232832552,1.013444443,2.61918269,1.618388918,62.5477026,25.0529505,94.0845017
198,150412,0.929349781,0.76607328,1.393221104,1.180347874,68.29640346,22.96629111,95.53168661
79,SB505124,1.281273384,1.192016346,2.400611641,1.549390732,57.47361868,32.05417852,95.95108931
141,PRT062607,0.950950513,0.671447487,1.553547387,1.246413811,71.16139942,25.90952892,101.4932875
162,GSK2110183B,1.133052325,0.922537464,2.151036557,1.46664125,69.38842668,26.83605755,101.8977518
84,Piperlongumine,1.055859169,0.950994804,1.775493242,1.332476357,60.14470448,37.68270305,102.9422311
169,AZD4547,1.168604885,1.009023095,2.278783653,1.509564061,64.78925134,33.10517488,103.8604019
232,NVP-ADW742,1.169927327,0.90904864,2.31590153,1.521808638,66.83172909,32.98756727,105.7359825
219,AZD3759,0.917708831,0.701743071,1.384745084,1.176751921,73.75155723,28.1948284,106.1273345
77,Bortezomib,0.833397717,0.611514899,1.370887196,1.170848921,91.57979438,12.21203414,107.7784773
215,Venetoclax,1.180904848,0.79306753,2.810057716,1.676322677,65.80602325,36.01331436,108.2796904
251,Pyridostatin,0.963578315,0.806907725,1.482186131,1.217450669,82.81766218,22.93357953,110.2213646
234,Savolitinib,0.9517483,0.807934567,1.437001228,1.198749861,78.62831924,28.37955462,111.4033078
150,ERK_6604,1.109947072,0.751212447,2.404492993,1.550642768,85.38720651,21.53407991,112.7375817
220,AZD5363,1.171300924,0.94959581,2.245640611,1.498546166,74.34565575,33.02662265,113.2373619
277,IOX2,0.64319132,0.595344215,0.635441406,0.797145787,86.7761783,23.98463385,113.4319349
107,Uprosertib,1.007493521,0.773683068,1.777959519,1.333401485,84.34653111,25.44248798,114.6815567
273,AT13148,1.37116525,1.267141599,2.825800609,1.681011781,77.2838581,30.64244243,115.0714198
99,SN-38,1.50416069,1.231324035,4.128610229,2.031898184,72.78008147,35.28597333,116.9620479
271,UNC0379,1.028646514,0.757729815,1.818860905,1.348651513,95.74089863,22.38869827,123.0834856
57,Crizotinib,1.040059493,0.831494321,1.848417272,1.359565104,85.67573902,33.47793317,124.2332084
222,AZD8186,1.168439372,0.883514519,2.359250371,1.535985147,90.54118948,28.17061232,124.6589912
17,Axitinib,1.153338388,0.875794114,2.183102297,1.477532503,87.74986478,32.17059048,125.6102226
11,Refametinib,1.306392327,1.036523383,2.83242267,1.682980294,81.24577541,38.62567933,126.7297734
86,BMS-345541,0.923587644,0.755191977,1.499006614,1.224339256,97.89367236,25.12426121,127.4200591
179,Fludarabine,1.389144443,0.993848484,3.562350543,1.887419016,98.5700114,22.31438482,128.7171587
257,VX-11e,0.967970458,0.762567027,1.663991406,1.289957909,96.32687905,28.48212055,129.4934864
26,Afatinib,1.098786293,0.801169055,2.257829405,1.502607535,84.87663108,43.15885893,133.6958823
159,JAK_8517,1.292550865,1.167537319,2.663888167,1.632142202,89.6460058,37.46681287,133.8689372
188,50869,1.024166286,0.811580778,1.660814564,1.288725946,96.58066567,33.25960129,134.6255545
211,MG-132,0.455281374,0.357490455,0.355030059,0.595843989,105.3355251,28.29762164,135.3967927
149,ERK_2440,1.234736023,0.936744455,2.605238644,1.614075167,96.3870977,33.45466399,136.232556
237,Sepantronium bromide,1.308014543,1.041702318,2.785506308,1.668983615,107.9472082,23.38262717,138.1340422
172,Acetalax,0.984732111,0.786738996,1.859267773,1.363549696,124.8780294,15.35677613,145.2290941
216,ABT737,1.228866066,1.002266724,2.593270002,1.610363314,99.61397818,39.29997705,145.3487213
85,Daporinad,2.119712203,1.616720786,7.368144197,2.714432574,96.30726226,40.22518372,150.3514557
39,ZM447439,1.209167409,1.020396766,2.344788497,1.531270223,106.4371854,44.28914519,156.8319535
272,AZD6482,1.205595388,1.055541387,2.317540464,1.522347025,122.8916656,29.42429891,158.4169888
201,630600,1.266375437,1.134531189,2.433122688,1.559847008,106.52747,45.57966666,158.501013
118,Bromosporine,0.891819666,0.73612737,1.2927974,1.137012489,124.4527523,30.10971561,158.6202249
154,PAK_5339,0.779947691,0.638398497,0.978097005,0.988987869,126.4606997,28.85559714,158.7017279
161,GSK2276186C,0.938191735,0.723518978,1.657037918,1.287259849,140.0920432,15.11668428,159.8147359
70,Erlotinib,1.059002939,0.912513745,1.783144649,1.335344393,123.1641285,33.38681276,161.640947
221,AZD6738,1.035227308,0.882453173,1.818249063,1.34842466,115.0584863,43.31203215,163.4548726
268,5-azacytidine,1.125339594,0.943487655,2.016287564,1.419960409,126.0128554,33.25849719,164.7764278
148,Eg5_9814,1.36170155,1.132823752,2.924356553,1.710075014,122.3381984,36.5666231,166.0337784
9,Vorinostat,0.712225195,0.529787384,0.878533782,0.937301329,125.3561696,39.73236317,168.1463804
42,MK-2206,1.077769467,0.877881867,1.934106997,1.390721754,137.1922868,31.48745474,173.9602216
2,Cisplatin,1.293233908,1.111604845,2.607399619,1.614744444,136.4999066,34.78865835,177.9155478
96,AZD2014,1.020280707,0.800563892,1.77336529,1.331677622,133.6848861,39.9487252,178.5594988
4,Docetaxel,1.971604852,1.339157685,6.953266577,2.636904734,134.0992338,32.70861404,179.7087817
47,PD0325901,1.280315975,1.006839329,2.893301293,1.700970691,128.8000766,47.24755681,182.9290607
254,Vinorelbine,1.577919106,1.298567474,4.14235258,2.035277028,136.0569728,38.38455605,183.4956451
184,123829,1.305646726,1.083518014,2.692898755,1.64100541,139.913659,38.28677072,184.9234986
83,YK-4-279,1.32095544,1.101855141,2.800452484,1.673455253,124.6153624,55.01518838,186.5272691
253,MK-8776,1.054044884,0.849678021,1.831223073,1.353226911,156.7829885,29.97280483,191.8439662
195,741909,1.190990743,0.904329857,2.368799198,1.53909038,150.9280331,35.97426362,192.9055069
63,BMS-536924,1.051241697,0.902232341,1.96422612,1.401508516,153.3156585,35.08990328,193.7247704
110,Luminespib,1.2840206,0.991188235,2.72852365,1.65182434,145.0914683,44.14346647,195.8904916
0,Camptothecin,1.40491898,1.211234168,3.19979042,1.788795802,139.2731608,49.4080217,196.2859219
145,AZD5153,1.401697875,1.234946102,3.225995769,1.796105723,140.9346467,49.11691429,197.7103064
8,Navitoclax,1.352655506,1.113656371,2.866462426,1.693063031,142.2789562,48.61567802,197.9204716
93,Bleomycin (50 uM),1.593262158,1.436546256,4.169010831,2.041815572,150.9119291,38.11442999,198.2669939
223,Osimertinib,0.920002914,0.684205012,1.49907874,1.224368711,153.8530085,41.89778616,200.07845
177,Dactinomycin,2.030466911,2.112909776,5.213574092,2.283325227,139.4695638,53.49675815,204.6065979
88,Talazoparib,1.619512616,1.263587893,4.452232859,2.110031483,157.7309644,39.80190243,206.9782317
65,Tozasertib,1.905499099,1.655612973,5.366802819,2.3166361,138.5693169,63.68018855,213.4940564
205,BEN,1.659984389,1.437172001,4.437840252,2.106618203,176.7208642,31.54846727,217.9109464
156,ULK1_4989,1.230836883,0.920373025,2.745767691,1.657035815,165.7704203,45.75002237,218.074456
75,Dinaciclib,1.074491242,0.822184917,2.153559323,1.467501047,187.7922897,28.0136112,221.3236374
125,OSI-027,1.413141318,1.30535978,2.956009609,1.719304979,168.8580825,47.17450783,223.426406
187,Podophyllotoxin bromide,1.033272495,0.801288977,1.85461561,1.361842726,146.9847445,71.83893716,223.8747015
94,AZD5438,1.068581194,0.781604855,1.989019934,1.41032618,181.6019758,37.03591908,223.8874271
255,Mycophenolic acid,1.133557099,0.853755418,2.229713059,1.493222374,166.6701236,54.31132194,226.6916935
56,Paclitaxel,1.436326518,1.193283844,3.247253946,1.802013858,176.744448,44.35212604,228.7754522
170,Ibrutinib,1.351233724,1.05321835,3.341718393,1.828036759,196.8348411,24.62275586,229.0318042
114,SCH772984,1.315933218,1.136343306,2.792079372,1.670951637,178.2378721,45.22787428,230.3810539
196,743380,1.246941958,1.032743825,2.451596269,1.565757411,177.0140413,47.32881694,230.6398977
130,AZD5582,1.581228664,1.265459401,4.738490054,2.176807307,170.7900312,51.13191712,231.6839338
163,GSK626616AC,0.612813512,0.459917368,0.633959881,0.796215976,183.2841403,46.04012075,231.8271678
90,Trametinib,1.455764232,1.099667823,3.789443714,1.946649356,155.9260915,71.99895971,236.2165764
191,667880,0.872122009,0.643588417,1.396636043,1.18179357,182.8635194,49.81846982,236.7761292
1,Vinblastine,1.526531633,1.281666622,3.897016582,1.974086265,194.1977877,34.27546711,237.1525559
124,Entinostat,1.111243092,0.96033198,1.947296152,1.395455536,189.3761407,46.38003,241.1704974
44,Dactolisib,1.256720782,1.060155482,2.494204811,1.579305167,176.0028888,61.56159889,243.9548739
176,Mitoxantrone,1.625310923,1.421541873,3.958434603,1.989581515,167.8071542,82.91788487,259.719908
174,Topotecan,1.518166819,1.390643138,3.408367305,1.846176401,167.5945888,84.2205135,259.978456
40,Alisertib,1.528307134,1.164277609,4.048888098,2.012184906,196.8050238,55.20802208,260.7667036
20,Lestaurtinib,1.128351534,0.870813752,2.051032254,1.43214254,168.3425022,90.43838605,264.2632283
112,Taselisib,1.454951452,1.248457787,3.108818524,1.7631842,191.9469489,65.18347775,264.7058386
43,Palbociclib,1.084316266,0.943101955,1.927925428,1.388497543,234.4761146,25.57238965,265.3923455
153,AZD5991,1.931479488,1.597159338,5.963517785,2.442031487,219.3258537,36.85639316,268.116435
202,LMP744,1.57238552,1.248885226,4.222856315,2.054958957,177.3683117,82.77006252,269.2374603
189,Dihydrorotenone,1.124212853,0.998360461,2.095841958,1.447702303,191.0643698,76.04544942,272.7759368
78,GSK269962A,1.178676265,1.137148365,1.900784506,1.378689416,228.2303878,41.36216032,275.1878466
5,Methotrexate,2.214100521,2.050280457,7.111030065,2.66665147,173.1026612,89.02400314,276.1687269
213,Buparlisib,0.7751854,0.535714439,1.081629643,1.040014251,222.3876651,55.87410022,281.694309
54,5-Fluorouracil,1.203088113,1.020994046,2.287835242,1.51255917,254.55225,23.1543915,283.7311181
69,TW 37,1.235365666,0.977416324,2.55489128,1.598402728,207.2589046,70.83201698,284.4569976
214,Ulixertinib,1.006122879,0.715621539,1.899851879,1.378351145,250.0941662,29.55052616,284.6446398
58,Rapamycin,1.19171387,0.957924046,2.252242364,1.500747268,237.4095815,43.50224365,286.8144527
146,CDK9_5576,1.141001367,0.838311248,2.416737838,1.554586066,197.5113838,84.73077921,288.1927995
206,Sabutoclax,1.012075906,0.821985968,1.6639266,1.289932789,182.8695406,104.0134199,291.6708817
274,BMS-754807,1.523739939,1.244920473,4.000634223,2.000158549,230.9637899,52.67994188,292.413185
25,Elesclomol,1.756381391,1.683063107,4.429535878,2.10464626,192.7755533,89.68778062,292.4369605
12,Temsirolimus,1.443986035,0.984533953,3.86071589,1.964870451,217.443295,69.55694245,295.2543437
87,AZ960,1.167615206,0.898364026,2.321281892,1.523575365,249.1333706,41.42385492,296.468062
55,Dasatinib,1.656802822,1.35128805,4.401986247,2.098091096,221.1775414,72.10199167,302.7877013
102,Linsitinib,0.99774898,0.73980749,1.620830109,1.273118262,278.3993127,20.02467489,303.0554924
183,Vincristine,1.841273532,1.575294585,5.349007183,2.312792075,221.0114649,72.14974207,304.2395743
217,Afuresertib,1.067417935,0.860818099,1.866111033,1.366056746,263.7975101,36.91571624,305.8736302
175,Teniposide,1.243155345,1.121641668,2.362450411,1.537026483,233.0566034,70.91191305,310.2327904
74,MK-1775,1.015051406,0.827603088,1.712594357,1.308661284,224.8019225,80.86396607,310.5297987
38,PD173074,1.064043542,0.838128434,1.96979689,1.403494528,288.8832829,20.70825838,314.8670047
227,GNE-317,1.258105289,1.036585139,2.44474788,1.563568956,205.6404341,103.2726383,315.2160797
192,Gallibiscoquinazole,0.729487705,0.577523,0.857430723,0.925975552,295.3917899,22.84926739,321.3314743
46,AZD8055,1.228100753,1.065410637,2.381500059,1.543210958,218.7659027,97.86157199,322.8456971
22,Tanespimycin,1.294136042,1.048153334,2.875263654,1.695660241,212.0527182,105.3172331,324.2831645
158,IGF1R_3801,1.616030192,1.367702632,3.738112786,1.933419972,244.1650911,71.58728729,324.407644
61,Irinotecan,1.408077874,1.02918048,3.355342154,1.831759306,272.6854561,49.00440978,329.3142257
147,CDK9_5038,1.532509981,1.328352814,3.894244554,1.973384036,284.8638498,45.6749385,339.2672797
103,Epirubicin,1.191792368,0.923025061,2.483992929,1.576068821,256.1618159,77.72013035,340.0568254
127,VE-822,1.270664037,1.068173696,2.508949599,1.583966413,327.2383128,35.64336056,369.3134271
204,Schweinfurthin A,1.535186372,1.391406928,3.668798634,1.915410826,316.5366009,57.4259642,382.4733679
230,Telomerase Inhibitor IX,0.995318599,0.760904466,1.660624274,1.288652115,300.597315,86.62565959,391.9284741
275,JQ1,1.404652143,1.353172407,3.037807231,1.742930644,344.3357413,54.8344103,406.7087141
137,OTX015,1.475399351,1.21043981,3.344426874,1.828777426,351.5591238,47.92412077,407.342288
266,CT7033-2,0.932355295,0.808359976,1.46191243,1.209095708,351.3592969,59.7660968,415.5371171
3,Cytarabine,1.554790945,1.323657606,3.65925075,1.912916817,363.8883369,61.92561748,434.2645705
